State,Year,Yield_t_ha
Himachal Pradesh,2013,1.4623170564902201
Himachal Pradesh,2014,1.6076264161370544
Himachal Pradesh,2015,1.6011730205278591
Himachal Pradesh,2016,1.4683562428407788
Himachal Pradesh,2017,1.6112448661662655
Himachal Pradesh,2018,1.5994709731310037
Himachal Pradesh,2019,1.6093900592041857
Jharkhand,2000,1.558415136216357
Jharkhand,2001,1.8326913034593932
Jharkhand,2002,1.4235874099355328
Jharkhand,2003,1.34478645551946
Jharkhand,2004,1.4142155944396568
Jharkhand,2005,0.8369316323192673
Jharkhand,2006,1.7133742869679685
Jharkhand,2007,1.8403914501676928
Jharkhand,2008,1.885559328012699
Jharkhand,2009,0.904835665899447
Jharkhand,2010,0.8974320031388034
Jharkhand,2011,2.1286593425643026
Jharkhand,2012,1.9394634457929272
Jharkhand,2013,2.053157552724337
Jharkhand,2014,2.116575532699735
Jharkhand,2015,1.0070645715040274
Jharkhand,2016,2.0552493593534398
Jharkhand,2017,2.0006699199783657
Jharkhand,2018,1.9189948591290351
Jharkhand,2019,2.6565460267505903
Karnataka,2000,2.5926924632600783
Karnataka,2001,2.2811858560636518
Karnataka,2002,2.0697009845946015
Karnataka,2003,2.374860324791418
Karnataka,2004,2.8331116513018086
Karnataka,2005,2.692802844118855
Karnataka,2006,2.611995586380832
Karnataka,2007,2.7311315716391444
Karnataka,2008,2.66071928818217
Karnataka,2009,2.605931571310397
Karnataka,2010,2.839713237512013
Karnataka,2011,2.836978444236176
Karnataka,2012,2.698410198600842
Karnataka,2013,3.086331960722205
Karnataka,2014,3.064889656898765
Karnataka,2015,2.756071435342294
Karnataka,2016,2.733276541369396
Karnataka,2017,2.8947356483476603
Karnataka,2018,2.8711234133993773
Karnataka,2019,3.1280648862090126
Kerala,2000,2.1623496229781844
Kerala,2001,2.182306045847939
Kerala,2002,2.2183041896113096
Kerala,2003,1.9838866847636947
Kerala,2004,2.3004931204524293
Kerala,2005,2.2846884746500327
Kerala,2006,2.4344691507930487
Kerala,2007,2.308421420459509
Kerala,2008,2.51933583745945
Kerala,2009,2.5567472865567047
Kerala,2010,2.45187617260788
Kerala,2011,2.7333909785271655
Kerala,2012,2.5765916463909164
Kerala,2013,2.8272130654776815
Kerala,2014,2.8364030882575566
Kerala,2015,2.79011530451567
Kerala,2016,2.546732788798133
Kerala,2017,2.7567953463775776
Kerala,2018,2.9203070551992325
Kerala,2019,3.0556060147340802
Madhya Pradesh,2000,0.5743903875603722
Madhya Pradesh,2001,0.9544785415015287
Madhya Pradesh,2002,0.6133085991263241
Madhya Pradesh,2003,1.0436245793344137
Madhya Pradesh,2004,0.7958536352345467
Madhya Pradesh,2005,0.9871888932784018
Madhya Pradesh,2006,0.8194766626730225
Madhya Pradesh,2007,0.5420760386725895
Madhya Pradesh,2008,0.613983571567169
Madhya Pradesh,2009,0.8631150820109348
Madhya Pradesh,2010,1.135857461024499
Madhya Pradesh,2011,1.365357732875842
Madhya Pradesh,2012,1.658111891546736
Madhya Pradesh,2013,1.7751939336845655
Madhya Pradesh,2014,1.7008899420747763
Madhya Pradesh,2015,1.6860031931878658
Madhya Pradesh,2016,2.4141403674046162
Madhya Pradesh,2017,2.4584087426792873
Madhya Pradesh,2018,1.8813049327869922
Madhya Pradesh,2019,2.3565428126657677
Maharashtra,2000,1.3603533787972721
Maharashtra,2001,1.8427139552814187
Maharashtra,2002,1.2601415632848771
Maharashtra,2003,1.9268458917076865
Maharashtra,2004,1.5471339516496883
Maharashtra,2005,1.8078491727587533
Maharashtra,2006,1.7749980873689848
Maharashtra,2007,1.9480476013387877
Maharashtra,2008,1.6223355663824603
Maharashtra,2009,1.5560552268244576
Maharashtra,2010,1.7939911530883694
Maharashtra,2011,1.8634759955340527
Maharashtra,2012,1.991393906234982
Maharashtra,2013,2.0006300238974584
Maharashtra,2014,1.8673067841964426
Maharashtra,2015,1.720991086760978
Maharashtra,2016,2.3018958934571647
Maharashtra,2017,1.9328918175548224
Maharashtra,2018,2.253656518861681
Maharashtra,2019,1.8359916505999139
Orissa,2000,1.040568216676591
Orissa,2001,1.588739893950371
Orissa,2002,0.7589942787612173
Orissa,2003,1.4960176489799182
Orissa,2004,1.455385546969788
