State,Year,Kharif_Rain_mm
Punjab,2012,366.65
Punjab,2013,619.6
Punjab,2014,481.32
Punjab,2015,554.45
Punjab,2016,502.61
Punjab,2017,601.95
Punjab,2018,845.0
Punjab,2019,702.95
Rajasthan,2000,226.97000000000003
Rajasthan,2001,382.62
Rajasthan,2002,109.09
Rajasthan,2003,427.73
Rajasthan,2004,493.89
Rajasthan,2005,335.51
Rajasthan,2006,344.40999999999997
Rajasthan,2007,391.28
Rajasthan,2008,427.82000000000005
Rajasthan,2009,293.11
Rajasthan,2010,611.79
Rajasthan,2011,587.74
Rajasthan,2012,617.02
Rajasthan,2013,610.57
Rajasthan,2014,449.09000000000003
Rajasthan,2015,351.55
Rajasthan,2016,558.0400000000001
Rajasthan,2017,382.48
Rajasthan,2018,565.4799999999999
Rajasthan,2019,694.9300000000001
Tamil Nadu,2000,323.87
Tamil Nadu,2001,296.62
Tamil Nadu,2002,168.48000000000002
Tamil Nadu,2003,284.81
Tamil Nadu,2004,415.49
Tamil Nadu,2005,176.63
Tamil Nadu,2006,240.14
Tamil Nadu,2007,255.37
Tamil Nadu,2008,319.74
Tamil Nadu,2009,165.5
Tamil Nadu,2010,345.87
Tamil Nadu,2011,299.89
Tamil Nadu,2012,302.41999999999996
Tamil Nadu,2013,293.5
Tamil Nadu,2014,219.48000000000002
Tamil Nadu,2015,269.55
Tamil Nadu,2016,220.37
Tamil Nadu,2017,356.15999999999997
Tamil Nadu,2018,256.71
Tamil Nadu,2019,403.11
Telangana,2000,782.51
Telangana,2001,597.91
Telangana,2002,558.7099999999999
Telangana,2003,631.01
Telangana,2004,475.42999999999995
Telangana,2005,886.61
Telangana,2006,796.02
Telangana,2007,744.8499999999999
Telangana,2008,837.5699999999999
Telangana,2009,620.39
Telangana,2010,938.0500000000001
Telangana,2011,591.4300000000001
Telangana,2012,608.11
Telangana,2013,795.87
Telangana,2014,476.43
Telangana,2015,357.57
Telangana,2016,690.03
Telangana,2017,619.5899999999999
Telangana,2018,532.51
Telangana,2019,688.6500000000001
Uttar Pradesh,2000,837.4499999999999
Uttar Pradesh,2001,549.2900000000001
Uttar Pradesh,2002,576.1500000000001
Uttar Pradesh,2003,772.5699999999999
Uttar Pradesh,2004,716.6400000000001
Uttar Pradesh,2005,694.3299999999999
Uttar Pradesh,2006,742.74
Uttar Pradesh,2007,711.77
Uttar Pradesh,2008,1417.42
Uttar Pradesh,2009,794.43
Uttar Pradesh,2010,707.49
Uttar Pradesh,2011,991.6600000000001
Uttar Pradesh,2012,854.39
Uttar Pradesh,2013,798.96
Uttar Pradesh,2014,500.99
Uttar Pradesh,2015,444.15
Uttar Pradesh,2016,759.21
Uttar Pradesh,2017,884.51
Uttar Pradesh,2018,1171.38
Uttar Pradesh,2019,1006.5100000000001
Uttarakhand,2000,652.23
Uttarakhand,2001,1155.8700000000001
Uttarakhand,2002,674.8599999999999
Uttarakhand,2003,965.28
Uttarakhand,2004,988.54
Uttarakhand,2005,1029.75
Uttarakhand,2006,859.09
Uttarakhand,2007,1286.1999999999998
Uttarakhand,2008,1350.09
Uttarakhand,2009,797.35
Uttarakhand,2010,1764.2599999999998
Uttarakhand,2011,1498.4099999999999
Uttarakhand,2012,1243.77
Uttarakhand,2013,1749.8899999999999
Uttarakhand,2014,868.12
Uttarakhand,2015,844.32
Uttarakhand,2016,776.1899999999999
Uttarakhand,2017,936.8000000000001
Uttarakhand,2018,1002.71
Uttarakhand,2019,704.3
West Bengal,2000,833.22
West Bengal,2001,958.35
West Bengal,2002,883.4399999999999
West Bengal,2003,708.36
West Bengal,2004,948.6
West Bengal,2005,665.36
West Bengal,2006,1081.36
West Bengal,2007,1489.0600000000002
West Bengal,2008,1039.58
West Bengal,2009,1022.39
West Bengal,2010,723.73
West Bengal,2011,1322.1100000000001
West Bengal,2012,882.5699999999999
West Bengal,2013,1083.58
West Bengal,2014,917.85
West Bengal,2015,1037.0
West Bengal,2016,1199.87
West Bengal,2017,1472.3999999999999
West Bengal,2018,1024.9
West Bengal,2019,799.52
